tamanho,polos,dn_succao_pol,dn_recalque_pol,a_mm,b_mm,c_mm,h_mm,l_mm,norma_flange,rosca_possivel,fonte
32-200.1,4,2,1.25,180,160,80,90,362,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-200,4,2,1.25,180,160,80,90,362,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-250.1,4,2,1.25,225,180,100,90,387,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-250,4,2,1.25,225,180,100,90,387,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-160,4,2.5,1.5,160,132,80,90,362,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-200,4,2.5,1.5,180,160,100,90,362,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-250,4,2.5,1.5,225,180,100,100,412,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-125,4,3,2,160,132,100,90,362,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-160,4,3,2,180,160,100,90,387,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-200,4,3,2,200,160,100,100,412,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-250,4,3,2,228,180,125,112,433,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-315,4,3,2,280,225,125,132,473,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-125,4,4,2.5,180,160,100,90,362,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-160,4,4,2.5,200,160,100,100,412,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-200,4,4,2.5,225,180,100,100,412,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-250,4,4,2.5,250,200,125,132,473,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-315,4,4,2.5,280,225,125,132,511,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
80-160,4,5,3,225,180,125,100,412,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
80-200,4,5,3,250,180,125,112,442,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
80-250,4,5,3,280,225,125,132,511,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
80-315,4,5,3,315,250,125,160,613,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
100-200,4,5,4,280,200,125,132,502,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
100-250,4,5,4,280,225,140,160,613,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
